r.G_occipital_sup,visualperipheral 
l.G_cuneus,visualperipheral
l.G_oc-temp_med-Lingual,visualperipheral
l.S_calcarine,visualperipheral
l.S_oc-temp_med_and_Lingual,visualperipheral
r.G_cuneus,visualperipheral
r.G_oc-temp_med-Lingual,visualperipheral
r.S_calcarine,visualperipheral
r.S_parieto_occipital,visualperipheral
l.G_occipital_middle,visualcentral  
r.G_occipital_middle,visualcentral  
l.G_and_S_occipital_inf,visualcentral 
l.G_occipital_sup,visualcentral 
l.Pole_occipital,visualcentral 
l.S_collat_transv_post,visualcentral
l.S_oc_middle_and_Lunatus,visualcentral
l.S_oc_sup_and_transversal,visualcentral
r.G_oc-temp_lat-fusifor,visualcentral
r.Pole_occipital,visualcentral
r.S_collat_transv_post,visualcentral
r.S_oc_middle_and_Lunatus,visualcentral
r.S_oc_sup_and_transversal,visualcentral
r.S_oc-temp_med_and_Lingual,visualcentral
l.G_and_S_cingul-Mid-Ant,ventralattentionB
l.G_and_S_cingul-Mid-Post,ventralattentionB
l.G_front_middle,ventralattentionB
l.G_front_sup,ventralattentionB
l.S_front_middle,ventralattentionB
r.G_front_middle,ventralattentionB
r.G_front_sup,ventralattentionB
r.S_front_middle,ventralattentionB
l.G_Ins_lg_and_S_cent_ins,ventralattentionA
l.G_insular_short,ventralattentionA
l.G_pariet_inf-Supramar,ventralattentionA
l.S_cingul-Marginalis,ventralattentionA
l.S_circular_insula_inf,ventralattentionA
l.S_circular_insula_sup,ventralattentionA
r.G_and_S_cingul-Mid-Ant,ventralattentionA
r.G_Ins_lg_and_S_cent_ins,ventralattentionA
r.G_insular_short,ventralattentionA
r.G_pariet_inf-Supramar,ventralattentionA
r.Lat_Fis-ant-Horizont,ventralattentionA
r.S_cingul-Marginalis,ventralattentionA
r.S_circular_insula_inf,ventralattentionA
r.S_circular_insula_sup,ventralattentionA
l.S_temporal_sup,temporalparietal
r.S_temporal_sup,temporalparietal
l.G_and_S_subcentral,somatomotorB
l.G_temp_sup-G_T_transv,somatomotorB
l.G_temp_sup-Plan_tempo,somatomotorB
l.Lat_Fis-post,somatomotorB
l.S_temporal_transverse,somatomotorB
r.G_and_S_subcentral,somatomotorB
r.G_temp_sup-G_T_transv,somatomotorB
r.G_temp_sup-Lateral,somatomotorB
r.G_temp_sup-Plan_tempo,somatomotorB
r.Lat_Fis-post,somatomotorB
r.S_temporal_transverse,somatomotorB
l.G_and_S_paracentral,somatomotorA
l.S_central,somatomotorA
r.G_and_S_cingul-Mid-Post,somatomotorA
r.G_and_S_paracentral,somatomotorA
r.G_postcentral,somatomotorA
r.G_precentral,somatomotorA
r.S_central,somatomotorA
l.G_postcentral,somatomatorA
l.G_precentral,somatomatorA
l.G_orbital,LimbicB
l.G_rectus,LimbicB
l.S_orbital_med-olfact,LimbicB
l.S_orbital-H_Shaped,LimbicB
r.G_orbital,LimbicB
r.G_rectus,LimbicB
r.G_subcallosal,LimbicB
r.S_orbital_med-olfact,LimbicB
l.G_oc-temp_med-Parahip,LimbicA
l.G_temp_sup-Plan_polar,LimbicA
l.G_temporal_inf,LimbicA
l.G_temporal_middle,LimbicA
l.Pole_temporal,LimbicA
l.S_collat_transv_ant,LimbicA
l.S_temporal_inf,LimbicA
r.G_temp_sup-Plan_polar,LimbicA
r.G_temporal_inf,LimbicA
r.Pole_temporal,LimbicA
l.G_parietal_sup,dorsalattentionB
l.S_postcentral,dorsalattentionB
l.S_precentral-sup-part,dorsalattentionB
r.G_parietal_sup,dorsalattentionB
r.S_postcentral,dorsalattentionB
r.S_precentral-sup-part,dorsalattentionB
l.S_oc-temp_lat,dorsalattentionA 
l.S_occipital_ant,dorsalattentionA 
l.G_oc-temp_lat-fusifor,dorsalattentionA
r.G_and_S_occipital_inf,dorsalattentionA
r.S_oc-temp_lat,dorsalattentionA
r.S_occipital_ant,dorsalattentionA
r.S_temporal_inf,dorsalattentionA
r.G_oc-temp_med-Parahip,defaultC  
l.G_cingul-Post-ventral,defaultC
r.G_cingul-Post-ventral,defaultC
r.S_collat_transv_ant,defaultC
l.S_circular_insula_ant,defaultB 
r.G_front_inf-Orbital,defaultB 
r.G_front_inf-Triangul,defaultB 
r.Lat_Fis-ant-Vertical,defaultB 
l.G_front_inf-Opercular,defaultB
l.G_front_inf-Orbital,defaultB
l.G_front_inf-Triangul,defaultB
l.G_temp_sup-Lateral,defaultB
l.Lat_Fis-ant-Horizont,defaultB
l.Lat_Fis-ant-Vertical,defaultB
l.S_interm_prim-Jensen,defaultB
l.S_orbital_lateral,defaultB
r.S_circular_insula_ant,defaultB
r.S_orbital-H_Shaped,defaultB
r.S_subparietal,defaultA 
l.G_and_S_cingul-Ant,defaultA
l.G_cingul-Post-dorsal,defaultA
l.G_subcallosal,defaultA
l.S_front_sup,defaultA
l.S_suborbital,defaultA
l.S_subparietal,defaultA
r.G_and_S_cingul-Ant,defaultA
r.S_front_sup,defaultA
r.S_interm_prim-Jensen,defaultA
r.S_suborbital,defaultA
l.G_pariet_inf-Angular,deafultB
l.G_precuneus,controlC
l.S_parieto_occipital,controlC
l.S_pericallosal,controlC
r.G_cingul-Post-dorsal,controlC
r.G_precuneus,controlC
r.S_pericallosal,controlC
l.G_and_S_frontomargin,controlB
l.G_and_S_transv_frontopol,controlB
r.G_and_S_frontomargin,controlB
r.G_and_S_transv_frontopol,controlB
r.G_pariet_inf-Angular,controlB
r.G_temporal_middle,controlB
l.S_front_inf,controlA
l.S_intrapariet_and_P_trans,controlA
l.S_precentral-inf-part,controlA
r.G_front_inf-Opercular,controlA
r.S_front_inf,controlA
r.S_intrapariet_and_P_trans,controlA
r.S_orbital_lateral,controlA
r.S_precentral-inf-part,controlA
