x	y	z	Destrieux	Yeo
18.948	-85.935	31.252	r.G_occipital_sup	visualperipheral
-5.703	-82.559	15.05	l.G_cuneus	visualperipheral
-11.197	-73.654	-5.086	l.G_oc-temp_med-Lingual	visualperipheral
-17.114	-66.698	4.784	l.S_calcarine	visualperipheral
-30.414	-48.15	-9.37	l.S_oc-temp_med_and_Lingual	visualperipheral
6.428	-81.143	17.312	r.G_cuneus	visualperipheral
12.425	-67.656	-4.46	r.G_oc-temp_med-Lingual	visualperipheral
18.88	-62.432	5.357	r.S_calcarine	visualperipheral
17.959	-65.668	24.804	r.S_parieto_occipital	visualperipheral
-39.239	-82.374	11.232	l.G_occipital_middle	visualcentral
40.033	-79.453	12.821	r.G_occipital_middle	visualcentral
-39.27	-81.242	-11.977	l.G_and_S_occipital_inf	visualcentral
-14.847	-86.955	26.707	l.G_occipital_sup	visualcentral
-17.721	-97.276	-5.706	l.Pole_occipital	visualcentral
-24.54	-78.901	-7.608	l.S_collat_transv_post	visualcentral
-30.314	-85.287	3.81	l.S_oc_middle_and_Lunatus	visualcentral
-26.886	-80.465	17.196	l.S_oc_sup_and_transversal	visualcentral
34.63	-52.534	-17.037	r.G_oc-temp_lat-fusifor	visualcentral
17.394	-94.985	-3.658	r.Pole_occipital	visualcentral
25.687	-78.075	-8.216	r.S_collat_transv_post	visualcentral
32.802	-82.079	6.453	r.S_oc_middle_and_Lunatus	visualcentral
27.821	-77.321	20.078	r.S_oc_sup_and_transversal	visualcentral
31.511	-46.227	-10.155	r.S_oc-temp_med_and_Lingual	visualcentral
-10.191	13.856	35.766	l.G_and_S_cingul-Mid-Ant	ventralattentionB
-10.189	-11.567	39.832	l.G_and_S_cingul-Mid-Post	ventralattentionB
-37.27	29.7	31.553	l.G_front_middle	ventralattentionB
-9.03	21.65	51.327	l.G_front_sup	ventralattentionB
-25.968	43.597	18.904	l.S_front_middle	ventralattentionB
38.204	29.401	30.849	r.G_front_middle	ventralattentionB
9.28	22.781	52.457	r.G_front_sup	ventralattentionB
28.296	40.93	22.288	r.S_front_middle	ventralattentionB
-36.46	-7.484	-0.058	l.G_Ins_lg_and_S_cent_ins	ventralattentionA
-35.043	8.586	-2.554	l.G_insular_short	ventralattentionA
-55.777	-36.111	31.904	l.G_pariet_inf-Supramar	ventralattentionA
-15.26	-37.588	45.383	l.S_cingul-Marginalis	ventralattentionA
-39.502	-13.872	-7.846	l.S_circular_insula_inf	ventralattentionA
-34.484	5.133	11.951	l.S_circular_insula_sup	ventralattentionA
10.39	14.795	36.112	r.G_and_S_cingul-Mid-Ant	ventralattentionA
37.305	-4.064	-3.656	r.G_Ins_lg_and_S_cent_ins	ventralattentionA
36.318	9.454	-2.202	r.G_insular_short	ventralattentionA
56.53	-31.724	30.782	r.G_pariet_inf-Supramar	ventralattentionA
41.415	30.224	2.684	r.Lat_Fis-ant-Horizont	ventralattentionA
14.303	-37.59	45.995	r.S_cingul-Marginalis	ventralattentionA
41.392	-12.95	-7.87	r.S_circular_insula_inf	ventralattentionA
34.968	5.708	11.641	r.S_circular_insula_sup	ventralattentionA
